URL,Title,Address
https://newyork.craigslist.org/mnh/egr/d/furniture-showroom-sales/6633058322.html,Furniture Showroom Sales Position,Flatiron
https://newyork.craigslist.org/mnh/egr/d/architect-5-10-years/6632987850.html,Architect 5-10 Years' Experience,NEW YORK
https://newyork.craigslist.org/brk/egr/d/assistant-of-the-technician/6632968380.html,Assistant of the technician,
https://newyork.craigslist.org/mnh/egr/d/intermediate-architect/6632835903.html,Intermediate Architect,Midtown West
https://newyork.craigslist.org/wch/egr/d/senior-architect/6632748645.html,SENIOR ARCHITECT,"Stamford, CT"
https://newyork.craigslist.org/mnh/egr/d/architect-2-3-years-experience/6632744472.html,Architect 2-3 years Experience,Downtown
https://newyork.craigslist.org/fct/egr/d/senior-architect/6632742961.html,SENIOR ARCHITECT,"Stamford, CT"
https://newyork.craigslist.org/mnh/egr/d/interior-architect-interior/6632722090.html,Interior Architect/Interior Designer - Intermediate,Downtown
https://newyork.craigslist.org/mnh/egr/d/project-manager-needed-design/6632709791.html,Project Manager Needed - Design Build Firm,Financial District
https://newyork.craigslist.org/mnh/egr/d/architect-project-manager/6632708315.html,Architect: Project Manager,Upper West Side
https://newyork.craigslist.org/mnh/egr/d/design-architect-needed/6632698142.html,Design Architect Needed - Design Build Firm,Financial District
https://newyork.craigslist.org/mnh/egr/d/assistant-project-manager/6632605996.html,Assistant Project Manager- Immediate hire,Downtown
https://newyork.craigslist.org/mnh/egr/d/office-assistant-immediate/6632572320.html,Office assistant- Immediate hire,Downtown
https://newyork.craigslist.org/mnh/egr/d/civil-engineer/6632526564.html,Civil Engineer,"Albany, NY"
https://newyork.craigslist.org/que/egr/d/estimator-miscellaneous/6632213731.html,ESTIMATOR - Miscellaneous & Architectural Metals,Maspeth
https://newyork.craigslist.org/mnh/egr/d/technical-design-general/6631253906.html,Technical Design / General Purpose Smart Person / Technical Support,Canal Street
https://newyork.craigslist.org/que/egr/d/mechanical-engineer-wanted/6631101586.html,Mechanical Engineer Wanted,
https://newyork.craigslist.org/brk/egr/d/project-manager/6631084553.html,Project Manager,Brooklyn
https://newyork.craigslist.org/que/egr/d/manufacturing-mechanical/6630859045.html,Manufacturing Mechanical Engineer,
https://newyork.craigslist.org/brx/egr/d/office-engineer-bronx/6630502590.html,Office Engineer (BRONX),
https://newyork.craigslist.org/mnh/egr/d/facade-building-envelope/6630449294.html,Facade / Building Envelope Architect or Engineer w/ CA Experience,TriBeCa
https://newyork.craigslist.org/mnh/egr/d/part-time-sketchup-model/6630381319.html,Part-time SketchUp Model-builder needed.,
https://newyork.craigslist.org/que/egr/d/project-coordinator-steel/6630260123.html,Project Coordinator - Steel Construction Company,Queens
https://newyork.craigslist.org/mnh/egr/d/project-architect/6630228347.html,Project Architect,Financial District
https://newyork.craigslist.org/mnh/egr/d/operating-engineer-and/6630222711.html,Operating Engineer and Maintenance Associate,Upper East Side
https://newyork.craigslist.org/mnh/egr/d/mechanical-project-supervisor/6630188128.html,MECHANICAL PROJECT SUPERVISOR,NYC
https://newyork.craigslist.org/brk/egr/d/architect-drafter/6630135090.html,Architect / Drafter,
https://newyork.craigslist.org/wch/egr/d/lead-hvac-mechanic-needed/6630041108.html,Lead HVAC Mechanic Needed,Rye.
https://newyork.craigslist.org/mnh/egr/d/freelance-mep-engineer/6629985856.html,Freelance MEP Engineer,Midtown
https://newyork.craigslist.org/brk/egr/d/auto-cad-drafter-detailer/6629971310.html,AUTO CAD DRAFTER / DETAILER,
https://newyork.craigslist.org/que/egr/d/drafter-construction-mep/6629891243.html,Drafter Construction MEP / Mechanical Engineer,College Point
https://newyork.craigslist.org/mnh/egr/d/its-who-you-know-or-can-find/6629730512.html,"IT'S WHO YOU KNOW, OR CAN FIND! UP TO $300K LAND SALES",
https://newyork.craigslist.org/mnh/egr/d/jr-designer-associate-for/6629565899.html,Jr. Designer/Associate for Architectural Work and Interior Design work,SoHo
