Title,URL,Address,Compensation,Employment Type,Description
Senior Software Engineer,https://sfbay.craigslist.org/sfc/sof/d/senior-software-engineer/6629955051.html,"San Francisco, CA",competitive,full-time,"WaterSmart Software is a ""do good"" company based in downtown San Francisco focused on transforming the way the world uses water. Our software platform helps water utilities and cities large and small analyze, optimize and communicate with their customers through a big data analytics dashboard, customer-facing mobile & desktop portal, and email and print campaigns.




Love working at a startup where your personal effort can help drive the company to success? In this role, you'll be right at the heart of a fast-growing company changing the way the world uses water. You'll have big responsibilities, with a lot to do. We're looking for someone who can perform at a high level across an entire stack: server configuration, backend coding, databases, and front-end.

On any given day, you'll:
- Build new services that interconnect with elastic cloud servers
- Collaborate on beautiful new front-end features and their API endpoints
- Create distributed processing workers that crunch millions of rows of data into customer insight
- Design better and faster ways to be more scalable, resilient, and recoverable




Our ideal candidate will have:
- 5+ years of professional software engineering experience
- A strong desire to be part of a tightly-knit engineering team that collaborates to meet aggressive goals
- At least one reference that will attest to you being the best of the best
- An appetite to navigate a complex distributed system with hundreds of database tables and billions of records
- Attention to detail and personal pride in your work--which is high quality, maintainable, and organized
- Excellent communication in person and on Slack

Bonus:
- Experience working with AWS components and services
- MySQL mastery, including backup/recovery
- System design and architecture with message-queue driven distribution




WaterSmart seeks a committed and diverse workforce. Women, minorities, individuals with disabilities, and veterans are encouraged to apply.

All your information will be kept confidential according to EEO guidelines.




Please APPlY ONLINE at:"
Senior Backend Engineer @ monARC Bionetworks,https://sfbay.craigslist.org/sfc/sof/d/senior-backend-engineer/6629465714.html,financial district,Very competitive with a strong career path,full-time,"MonARC Bionetworks is an exciting startup that provides clinical trial resources and services by empowering patients in the search for cures for rare diseases. 

Our technology center engages in applications development, bioinformatics, IT infrastructure, multiple clinical research data warehouses, electronic health records warehouse and patient networks. Through these service lines, MonARC enables research of the highest scientific merit and advances the state of the art of clinical and translational informatics. MonARC Bio recruits exceptional candidates looking to leverage state-of-the-art technologies to deliver innovative and exciting solutions to biomedical researchers.

Our mission is to improve patients' quality of life and find cures for diseases faster than ever before: to discover a cure, to reduce the cost and time required to find a cure, and to nurture and sustain a community of patients with rare and general diseases.

Join us in our adventure. The MonARC team has a long and rich history of innovation. Our management team has developed and sustained outstanding programs of research and training in a broad range of technologies and successfully lead companies to industry leadership.


We are looking for a driven and analytical Backend Developer to join our team who is interested in solving interesting technical problems. You'll participate in all phases of the development life cycle and bring your organization and deadline-driven skills to our team.

A sampling of the technologies we work with includes:














 

          

          To apply click on this link:  
          (or enter the url into your browser)"
Structural Engineer,https://sacramento.craigslist.org/egr/d/structural-engineer/6632543263.html,,TBD,full-time,"Reno Structural Engineering firm is seeking a highly motivated structural engineer with the desire to continue a career in building design. McElhaney Structural Engineers, LLC seeks a civil/structural engineer interested in joining our growing office. We pride ourselves in our work-live balance with a great family culture, making it a priority.

MSE provides services to a number of public agencies, tribal governments, contractors, architects, developers, as well as to individual homeowners. We have a strong repeat client base spread across five states, NV, CA, OR, AZ, and Texas.

We are seeking a Structural Engineer to grow with our team and to help us maintain the highest quality of professional services to our clientele. This Engineering position reports directly to the owner and is primarily responsible for preparing construction documents, specifications, performing engineering calculations, project management, as well as assisting the design staff. At MSE capable engineers will be given every opportunity to not only grow as an engineer but also to develop as a project manager.

The Position

• Full-time with medical insurance plan

• Paid vacation, holiday and sick leave

• A collaborative and stable work environment

• Merit-based opportunities for advancement

• Structural Engineering design for various project types such as schools, commercial development, development on tribal lands, residential, industrial, seismic evaluations and mixed use

• Preparing and checking structural calculations and details of structural elements

• Opportunities to contribute to business growth and diversification

Ideal Candidates

• BS in civil engineering with a structural emphasis or MS in structural engineering

• 1+ years of related post-graduate structural design office experience a plus

• Working towards professional licensure or has PE license

• Competency with all basic MSOffice software

• Proficient in usage of engineering software such as Mathcad and RISA

• Experience using Revit Structure is a plus

• Design experience in municipal, commercial, and residential projects a plus

• Must have the ability to solve design problems using engineering calculations and general design standards

• The successful candidate would have experience with design and analysis of structural elements of concrete, steel, masonry and wood

• Excellent interpersonal and organizational skills

• Ability to coordinate multiple projects of various sizes

• Strong verbal and written communication skills

• Willingness to collaborate in a team environment

• A proactive approach to timely problem solving

• Ability to perform basic design and drafting functions with minimal supervision

Interested candidates should send the following:

• A cover letter stating relevant experience and skills plus salary history

• A resume or CV that clearly documents the required qualifications

• Work samples in PDF format

We are a small firm with a diverse portfolio offering competitive salaries, medical insurance, paid-time-off and an atmosphere in which talented and motivated professionals will thrive. Salary is based on experience and ability."
Developers | Work For A Y COMBINATOR Backed Company - Coinbase & more,https://sfbay.craigslist.org/sfc/sof/d/developers-work-for-y/6629558419.html,ingleside / SFSU / CCSF,DOE,full-time,"On 7/11 and 7/14, CSPA will be hosting Assessment Sessions at the City College of San Francisco (CCSF) from 10am - 4pm.

By taking the CSPA assessment, you'll get to apply to multiple companies at once (CSPA has 30+ participating employers!). If you get a good score, you can even get a guaranteed interview with one of the CSPA partner employers.

Learn more about the event and sign up via this Eventbrite link: 


The CSPA Exam is an open book exam, you will be using your own laptop and can use any resources or tools you'd like (except asking other people for help or peeking over your neighbor's shoulder).

The Exam will test your fundamental knowledge as a full stack engineer, and topics include algorithms, data structures, programming, front end web development, operating systems, architecture, systems design, databases and storage systems, security, and more.






Engineer, Software Engineer, Software Developer, Software Programmer, Web Developer, Full Stack Developer, FullStack Engineer, Backend Engineer, Computer Science, Software Engineer Job, Programming Job, Programmer Job, Developer Job"
Project Manager for High End Construction Company,https://sfbay.craigslist.org/sfc/egr/d/project-manager-for-high-end/6629730262.html,SOMA / south beach,"Competitive compensation package, DOE",full-time,"Are you an experienced and highly organized residential high-end construction Project Manager that consistently meets deadlines, and thrives in a positive and professional environment?

If the answer is 'yes!', please read this entire post.

Since 1986 Matarozzi Pelsinger Builders has crafted some of the most innovative and complex residences and commercial spaces across the Bay Area. Built upon many years of successes, high-praise and recognition, we are expanding!

If you have sound, high-end Project Management skills in the Bay Area, we want to talk to you!

JOB DESCRIPTION - PROJECT MANAGER | SPECIAL PROJECTS DIVISION

The Project Manager (PM) and Superintendent co-lead the Project in order to manage and deliver construction projects. The PM serves as a leader and advocate, working closely with Superintendents to establish project goals and track progress against those goals. The PM is consistently working to communicate information and issues, bringing issues to resolution, through their technical knowledge, innovative problem-solving, and team collaboration.

Major Responsibility:

RISK MANAGEMENT - Accurately assess and mitigate risk through administering contract documents;
RELATIONSHIPS - The ability to comfortably and professionally maintain constructive relationships throughout the project team; Fosters an enthusiastic, creative, can do attitude and shares the responsibility for Company goals;
PROJECT MANAGEMENT - Responsible for ensuring that project scope is completed on time and under budget; Key decisions and corresponding contract changes are clearly communicated and documented;
DOCUMENT CONTROL - Maintain current contract documents through Spectrum software program, creating links and cross annotations as needed for Owner and Subcontractor change orders, addendums, RFI's, submittals and project information in order to maintain and communicate project status to project team.
Required Skills & Abilities:

Provide accurate and timely written documentation of project.
Model strong, yet collaborative communication that is both informative and receptive to project and team needs.
Build strong teams that work in an organized manner, prioritizing critical and time-sensitive tasks while concurrently working to complete all tasks.
Understand and decipher legal contract language, code and technical construction technologies.
Proficiency with MS Office Suite and MS Project, experience with Spectrum a PLUS.
A minimum of THREE years of high-end residential construction project management experience, preferably in the SF Bay Area.
College degree preferred but not required as long as industry-specific professional experience makes up for it.
Experience managing multiple projects under $500K and/or large projects up to $15M
Ability to coordinate with different levels of the team and management.
Ability to read blueprints and understand technical documents
Highly organized, energetic, focused, and detail-oriented.
Self-directed with a high level of initiative and a 'can do' attitude.
Demonstrated ability to consistently meet deadlines.
Fast learner, with the ability to learn new software with ease
Highly resourceful problem solver.
Ability to work both independently and cooperatively in a fast-paced environment.
Impeccable and concise communication and presentation skills: verbal, written, and visual.
Experience managing multiple projects simultaneously
Poised and mature attitude, always remaining calm under pressure.
Experience and a commitment to delivering excellence in customer service.
Reliable and dedicated to the success of the team

What's in it for YOU:
- Competitive base pay
- Attractive benefits package (health insurance, PTO, bonuses, retirement plan, and more)
- Opportunities for growth in a stable and established company
- A supportive, healthy, and fun open-space work environment in an award winning building
- Team Members are encouraged to seek out training for professional advancement in leadership, management, and industry technology. MPB reimburses for relevant coursework.

To apply, please submit the following:
- A cover letter letting us know why you are the best candidate for the position, be sure to include your pay expectations, and start date availability.
- Your up-to-date resume.

Attention to detail is important to us. Candidates that do not submit these two documents will not be considered.

For more information about us, visit our website at: 

Absolutely NO phone calls, please.
Absolutely NO contact by recruiters, please."
Structural and Misc. Steel Tekla Detailer,https://sacramento.craigslist.org/egr/d/structural-and-misc-steel/6632898418.html,,DOE,full-time,"NMI Industrial Holdings, Inc. is an industrial contractor that specializes in structural steel, misc. metals, stainless pools, conveyor systems and various mechanical projects.  We are currently looking for a Tekla Detailer with experience in industrial structural steel projects. 

In this position you will be actively working with the Engineering/Drafting and Design Team on the following tasks:

●	Interpret design intent from architectural and structural design drawings, sketches, etc.
●	Translate design intent into accurate 3D Tekla models, incorporating all details necessary
●	Generate organized shop and field drawings with enough detail to ensure smooth fabrication and erection
●	Generate and verify material, hardware, assembly lists, NC files, etc.
●	Consult with the operations manager and design team on best methods for design
●	Coordinate with vendors to source the best and most cost effective components and raw materials
●	Follow industry standards, applicable codes, and NMI detailing standards
●	Support the shop when questions arise
●	Design all projects for the best constructability, ease of installation, and cost effective use of labor & materials
●	Ensure detailing for each job is correct, complete, on time, and meets the contract document requirements
●	Observe fabrication & installation processes with the intent of finding ways to save time/labor and minimize issues (quality control)
●	Coordinate with outsourced detailing firms to ensure projects are completed accurately, on time, and standards are followed
●	Provide estimating with assistance as needed
●	Develop custom components as needed
●	Attend Tekla seminars in the interest of keeping up with the latest industry standards, development, ideas, processes, etc.
●	Coordinate with clients, GC's, subcontractors as required
●	Visit job sites to verify existing conditions, etc.
●	Be willing to learn new software, systems, & roles to fill needs as they arise.

Depending on your progress and personal interest, you may move in more specific fabrication design help or any other areas that your focus and interest can drive you to excel in your position.

Please send your resume to  TeklaJob@nmiindustrial.com"
Senior Mechanical Engineer,https://sfbay.craigslist.org/sfc/egr/d/senior-mechanical-engineer/6629848693.html,Lafayette,Competitive,full-time,"Senior Mechanical Engineer


Harris Group offers unique opportunities to grow professionally by working across multiple clients, projects, engineering disciplines and industries while living in some of the best places in the United States. Our size and the number of industries we are focused on allow you to be exposed to many different projects across a wide array of clients. Our team works diligently to ensure our clients' projects are completed with the utmost professionalism, teamwork and detail design. If you are a proven design professional looking to take the next step in your career and are ready join an exciting team with project diversity and professional growth opportunities, then Harris Group is for you!

Senior Mechanical Engineer

Harris Group is seeking a Mechanical Engineer to join our team in Lafayette, California. This is an opportunity for a seasoned Mechanical Engineer, with the ability to be self-motivated to see a project through from the developmental stage through detailed design and construction support, to perform assignments on a broad range of projects, such as life science (biopharmaceutical) laboratories (HVAC, Piping), fuel terminal piping and tanks, and industrial manufacturing,

The position will require knowledge of one or more of the following areas: piping systems, including piping stress analysis; facilities utilities design with unique industry requirements; steam, hot water and chilled water heating and cooling systems; heating, ventilation and air conditioning systems; and plumbing systems. Familiarity with process system design and equipment including pumps, fans, heat exchangers, cooling towers, boilers, chillers, conveyors and air handlers is also important.

This Mechanical Engineer primarily works with project staff within life sciences, aerospace, and industrial facilities, but may also work on projects within process industries, air and sea ports, energy, commercial development, and other business sectors.

Supervision received is essentially administrative, with assignments given in terms of broad general objectives and limits. This Mechanical Engineer has a responsibility to mentor less experienced engineering and design staff and share knowledge. This position requires project level leadership, high level of communication with the client and project managers and offers growth opportunities to have direct reports.

Essential Job Functions

• Define, organize, execute and coordinate mechanical engineering assignments.
• Plan, organize, and oversee the work of engineers, designers and administrative staff supporting those assignments.
• Serve as technical resource on complex design issues and advanced engineering theories, concepts, principles, and processes.
• Represent Harris Group at meetings with clients, contractors, and subcontractors.
• Perform mechanical design, working with other members of the mechanical staff, and coordinate with other disciplines on specific projects.
• Prepare, review and approve complex engineering calculations and documentation that support the project design basis
• Select and define scope of mechanical engineering and related problems to guide investigations. Plan and develop solutions to those problems that often require novel concepts and approaches.
• Interface with key client and project staff in formal, informal and project team meetings.
• Prepare mechanical drawings, through the use of designers or drafters, and develop specifications.
• Field information gathering and surveying.
• Provide clients with assistance during construction, installation, commissioning and start-up of equipment and systems.
• Research, design and specify equipment, controls and processes.
• Shop drawing review.
• Coordination of design with vendor supplied equipment
• Act as technical lead for layout of systems; oversight and layout.
• Preparation of construction bid packages and construction specifications.
• Assist in preparation and presentation of proposals, including scope of services and fee estimate. Support sectors with business development activities and proposal input.
• Coordinate the design process with the project schedule to ensure timely delivery of the design documents.
• Seal engineering documents in accordance with the State statutory requirements for the project site.
• Coaching and mentoring of junior staff.
• Regular and reliable attendance.
• Ability and willingness to travel to an off-site location and/or accept client site assignments.
• Ability to pass Client badging and screening processes

Knowledge & Skills

• Advanced knowledge and demonstrated competence in mechanical engineering.
• Ability to apply mechanical engineering techniques commonly used in industrial capital projects.
• Ability to identify, interpret and apply relevant codes and standards to engineering designs.
• Leadership skills with the ability to work directly with existing and prospective clients, vendors, and constructors.
• Documented supervisory skills needed to manage others' work.
• Ability to use a computer and computer software programs related to the discipline, and Microsoft Word, Excel, and Outlook.
• Experience with AutoCAD, CADWorx, or Revit, a plus.
• Knowledge of Caesar (preferred) or Autopipe pipe stress software, desired.
• Experience with Trane TRACE 700 preferred.
• Knowledge of PIPE-FLO preferred.
• Demonstrated ability to meet budgets and deadlines.
• Excellent written and verbal communication skills

Educational & Work Experience

• Minimum 7 years of relevant experience
• Bachelor's degree in Mechanical Engineering
• Registration as a Professional Engineer (PE)

Physical Requirements

The physical demands described here are representative of those that must be met by an employee to successfully perform the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.

Work is performed in both an office setting and on-site work with clients. Work is required in the inspection of various land use developments, construction sites or public works facilities. Hand-eye coordination is necessary to operate drafting instruments, computers and various pieces of office equipment.

While performing the duties of this job, the employee is occasionally required to stand; walk; use hands to finger, handle, feel or operate objects, tools or controls; and reach with hands and arms. The employee is occasionally required to sit; climb or balance; stoop, kneel, crouch or crawl; talk or hear; and smell.

The employee must occasionally lift and/or move objects up to 25 pounds. Specific vision abilities required by this job include close vision, distance vision, color vision, peripheral vision, depth perception and the ability to adjust focus.

Travel is required to job sites and other Harris Group offices.

We look forward to receiving your resume!

Harris Group is an equal opportunity employer offering competitive salaries and excellent benefits.
All your information will be kept confidential and according to EEO guidelines. Harris Group is a Drug-Free Workplace.


Apply Online :"
Sr. Embedded Electrical Design Engineer,https://sacramento.craigslist.org/egr/d/sr-embedded-electrical-design/6633102861.html,,BOE,full-time,"Intermotive Vehicle Controls continued growth means we are hiring again.   

What's required:
•	BSEE or BSCE 4 year degree from an accredited U.S. college/university
•	Excellent oral and written English communications skills 
•	7+ years' experience
•	Fluent in C code, preferably for embedded applications
•	Digital and Analog hardware circuit design
•	Be able to travel ~1 week every 2-3 months
•	Experienced with schematic capture/PCB layout 
•	Experience with version control software
•	Experience with ISO9001 disciplines
•	Automotive knowledge a plus
•	Experience with automotive electrical systems a plus  

We are located in Auburn, CA, north of Sacramento.  While we offer the usual benefits package, we do not offer relocation assistance. You need to live within a reasonable commute or be willing to relocate.  If you live out of the area, are willing to relocate, and can get here for an interview, let us know.   

As a smaller company, you will get to wear many hats in addition to product design: creating new product spec's, manufacturing test plans, creating/reviewing installation instructions, training marketing, sales, and tech support staff.  Manage field upgrades and be able to interface with VIP customers.  

We want engineers who can take ownership of their products and manage them from inception through production and beyond.

If this sounds like you, we'd like to see your resume.   If the job listing is still posted, then we still have openings. Your resume will be kept in strict confidence and will not be used for any other purpose than this opening. 

We are an ISO9001:2015 company.

If you don't match these requirements, please don't send your resume, but we wish you well in your job search.  Please no consultants or headhunters. Thanks for understanding, and thanks for your interest in InterMotive."
Software Support Engineer (087),https://sfbay.craigslist.org/sfc/tch/d/software-support-engineer-087/6615403212.html,Anacortes,Commensurate with experience,full-time,"Integra's support engineers are the focal point for addressing and resolving technical issues. This position is on our DocuTrack team and requires knowledge SMTP/FTP/WWW configuration, networking with TCP/IP, Windows Server, faxing, and MSFT SQL Administration."
Commercial Draftsman needed for Tenant Improvement Projects,https://sacramento.craigslist.org/egr/d/commercial-draftsman-needed/6635112342.html,,D.O.E.,full-time,"About Us:

FH Design is a growing architectural and engineering firm in Roseville California. We utilize the latest software and leverage it to the fullest. We offer the chance to work on projects from start to finish providing you valuable experience in all aspects of Architecture and Engineering.

Ideal Candidate:

The ideal candidate enjoys working in a small, collaborative team. We are seeking a self-starter and highly motivated individual who wants to share their talent and experience.

Education:

•	Technical education such as a 2 year drafting program or certification of completion from an accredited design/draft curriculum or enrollment in an Architecture / Engineering 4 year degree program.

Qualifications:

•	Must be proficient in REVIT, and AutoCad .
•	Proficiency in rendering software is a plus
•	Microsoft Office
•	Proven customer service skills
•	Strong written and oral communication skills
•	Ability to problem solve and demonstrate critical thinking skills 
•	Must be able to work with minimal supervision

Responsibilities:

•	Work closely within a design team to ensure effective project coordination 
•	Produce drawings for as-builts as well as finished projects for permit and construction
•	Conduct drawing reviews as appropriate for completeness and accuracy.
•	Organize and maintain project drawings, files, and related information.


Please e-mail your resume in PDF format to:

Sean Freitas / Daryl Honey
FH Design, Inc."
